naslov,avtor,# novih poglavij,# novih besed,# poglavij,# besed,datum objave novega poglavja,datum prve objave,teden v katerem je bilo objavljeno novo poglavje,je quest,je zaključen
Tank,maroon_sweater,6,5700,6,5700,2019-03-02,2019-11-15,2019-03-02,False,False
"Taylor Hebert, magical girl At your service",Aurora Moon,1,3100,26,75000,2019-03-02,2019-10-24,2019-03-02,False,False
That What Walks,fallacies,15,41000,15,41000,2019-03-03,2019-12-17,2019-03-02,False,False
Timesnatch,keira,1,2100,5,10000,2019-03-02,2019-12-03,2019-03-02,False,False
Tinker: Yes,QuickDeath007,1,754,3,2700,2019-03-02,2019-12-25,2019-03-02,False,False
Typewriter,The Sleeping Knight,4,11000,4,11000,2019-03-02,2019-08-09,2019-03-02,False,False
Unsung Heroes: For What of a Crown...,Zaralann,1,10000,4,42000,2019-03-02,2019-10-05,2019-03-02,False,False
Uplink,AnOutrageousAmountOfOwls,1,3100,11,49000,2019-03-03,2019-01-17,2019-03-02,False,False
Valiance,SmashHero59win,1,2800,5,14000,2019-03-02,2019-02-06,2019-03-02,False,False
The Weaver Option,Antony444,1,15000,23,222000,2019-03-02,2016-08-23,2019-03-02,False,False
Yesod,Tobits,1,604,2,1300,2019-03-02,2019-02-26,2019-03-02,False,False
Blessed,Hejtan,1,1100,5,4800,2019-03-02,2019-02-24,2019-03-02,True,False
A Champion in Earth Bet,sun tzu,36,172000,36,172000,2019-03-02,2015-07-07,2019-03-02,True,False
The Birds That Don&apos;t Rise [inspired by Ava&apos;s Demon and Dresden Files),VereorNox,8,19000,8,19000,2019-02-23,2019-02-23,2019-02-23,False,False
Ghost of Hope,TheGirlWithFarTooManyIdeas,1,4400,1,4400,2019-02-26,2019-02-25,2019-02-23,False,False
Hero,Karitori-Ki,1,3400,1,3400,2019-02-24,2019-02-23,2019-02-23,False,False
A Lesson in Chaos,Treevile,1,687,1,687,2019-02-23,2019-02-23,2019-02-23,False,False
Pay to Win,dgj212,1,4600,1,4600,2019-02-26,2019-02-25,2019-02-23,False,False
Skitterin&apos; and Ridewatchin&apos;,TheTwoMind,1,1000,1,1000,2019-02-23,2019-02-23,2019-02-23,False,False
Sol Invictus,RustPony,1,2500,1,2500,2019-02-23,2019-02-23,2019-02-23,False,False
Tattletale Makes a Friend,hihapohah,1,578,1,578,2019-02-23,2019-02-23,2019-02-23,False,False
"Taylor Hebert, Medhall Intern",Ack,2,6700,2,6700,2019-02-23,2019-02-23,2019-02-23,False,False
"Worm, except its in New Zealand",axleonex,2,1900,2,1900,2019-02-23,2019-02-24,2019-02-23,False,False
Philosopher&apos;s Champion,phoenixfryre,3,3600,3,3600,2019-02-23,2019-02-23,2019-02-23,True,False
Trials and Tribulations,LazyZealot,2,1800,2,1800,2019-02-24,2019-02-23,2019-02-23,True,False
The God of Thunder in Brockton Bay,phoenixfryre,3,11000,3,11000,2019-02-24,2019-01-03,2019-02-23,False,True
Officer Hess,freebiewitz,16,52000,16,52000,2019-02-23,2019-06-03,2019-02-23,False,True
Blindfolded Queen,TheHangedMan,1,4600,1,4600,2019-02-25,2019-02-24,2019-02-23,False,True
Seeing New Faces,WestOrEast,1,4900,1,4900,2019-02-23,2019-02-23,2019-02-23,False,True
To Feel The Thunder,JustAnotherHachimanFan,1,6600,1,6600,2019-02-23,2019-02-23,2019-02-23,False,True
Another Way,Ack,21,129000,21,129000,2019-02-23,2015-08-31,2019-02-23,False,False
Immortality is BS,kepic,1,1100,4,8900,2019-02-23,2019-10-10,2019-02-23,False,False
Not Nice,DMfromTheAbyss,1,211,26,121000,2019-02-23,2017-11-16,2019-02-23,False,False
Terminus,maroon_sweater,1,2500,33,60000,2019-02-23,2017-02-26,2019-02-23,False,False
Wail of the Banshee Mutated,anticode,2,3200,4,6700,2019-02-23,2013-12-01,2019-02-23,False,False
We Compromised,dgj212,1,3900,4,17000,2019-02-23,2017-10-29,2019-02-23,False,False
Adaptation,ShayneT,74,209000,74,209000,2019-02-23,2019-08-27,2019-02-23,False,False
Barbershop,helpmeimscared,1,2300,21,54000,2019-02-23,2018-01-20,2019-02-23,False,False
Câest La Vie,PseudoSim,1,14,22,96000,2019-02-23,2017-06-30,2019-02-23,False,False
Cazador,NemotheUnknown,1,61,17,46000,2019-02-25,2019-05-30,2019-02-23,False,False
A CYOA in Worm or I think my name is No No,rajvik_wolfboy,1,19,13,20000,2019-02-24,2019-08-28,2019-02-23,False,False
A Dream of Magic,TheClone,1,214,6,9700,2019-02-26,2019-02-07,2019-02-23,False,False
El Wormish Shive,TheMistfather,4,6900,4,6900,2019-02-23,2019-10-17,2019-02-23,False,False
Evil and Ham,QAI521,1,67,8,49000,2019-02-25,2017-10-24,2019-02-23,False,False
Familiar,ManMagnificent,1,41,16,56000,2019-02-23,2019-03-30,2019-02-23,False,False
Fires of the Underworld,Blackhawk748,1,56,19,33000,2019-02-24,2019-06-30,2019-02-23,False,False
Forsaken Escalation,Morgan Arc,21,49000,21,49000,2019-02-23,2019-09-02,2019-02-23,False,False
Green Arrow,Leonie46,1,61,5,9700,2019-02-23,2019-01-29,2019-02-23,False,False
Hebert Family Values,ellfangor8,1,1100,8,22000,2019-02-24,2017-12-10,2019-02-23,False,False
Kommandant,TheVoiden,1,1900,10,26000,2019-02-23,2019-01-08,2019-02-23,False,False
A Light In The Darkness,Aeshdan,1,73,3,3800,2019-02-24,2019-12-26,2019-02-23,False,False
The Little Ship that Could,JGregory32,70,124000,70,124000,2019-02-23,2016-02-28,2019-02-23,False,False
The Mage in the Bay,Stewart92,1,2700,39,107000,2019-02-24,2017-07-19,2019-02-23,False,False
My Life as a Gatcha Gamer on Earth Bet,duskrider,1,7000,5,23000,2019-02-24,2019-01-27,2019-02-23,False,False
Need more Weedkiller,Baron Steakpuncher,1,1600,3,6400,2019-02-23,2019-02-14,2019-02-23,False,False
NPCs without a protagonist to play,freebiewitz,1,1600,4,6300,2019-02-26,2019-12-14,2019-02-23,False,False
Pip Kid,QuickDeath007,1,11,5,5700,2019-02-23,2019-02-04,2019-02-23,False,False
"Pure Human Ingenuity, No Powers Needed",Mish,1,28,2,1300,2019-02-23,2019-02-19,2019-02-23,False,False
Right-Minded,QuickDeath007,1,11,14,17000,2019-02-25,2019-01-22,2019-02-23,False,False
Terrier,S0ngD0g13,15,18000,15,18000,2019-02-25,2019-04-02,2019-02-23,False,False
This I Protect,Lordpanther14,2,102,9,16000,2019-02-23,2019-01-23,2019-02-23,False,False
Tinted Reflection or: The Taylor with the Pink Glasses,Sulfurado,1,1600,4,7200,2019-02-23,2019-02-04,2019-02-23,False,False
The Very Worst Ideas,TheVeryWorst,10,17000,10,17000,2019-02-23,2019-10-18,2019-02-23,False,False
Viper&apos;s Bite,TheRealChuckNorris,28,32000,28,32000,2019-02-23,2017-05-29,2019-02-23,False,False
We&apos;ll Never Eat Oranges,Materia-Blade,1,175,3,2900,2019-02-25,2019-02-19,2019-02-23,False,False
What Not To Do When Angry,Demented Frog Noise,7,12000,7,12000,2019-02-25,2019-01-19,2019-02-23,False,False
Control,Electronic Stars,2,16,6,992,2019-02-24,2019-02-16,2019-02-23,True,False
Ghost In The Machine,Electronic Stars,1,819,1,819,2019-02-20,2019-02-20,2019-02-16,False,False
New World Monsters in a Newer World,The Yondant,4,5000,4,5000,2019-02-16,2019-02-18,2019-02-16,False,False
Queen Administrator&apos;s Multiverse Adventures - Remnant,RavensDagger,6,17000,6,17000,2019-02-19,2019-02-18,2019-02-16,False,False
Spirits Among Us,The Evil Within,1,1100,1,1100,2019-02-20,2019-02-19,2019-02-16,False,False
Tattletale Sorts the Mail,aRabidHobo,3,3700,3,3700,2019-02-20,2019-02-16,2019-02-16,False,False
A Telekinetic&apos;s Guide to Killing Capes,TheKingInYellow,1,1000,1,1000,2019-02-18,2019-02-17,2019-02-16,False,False
How to Train your Coil,RandomNPC,2,4500,2,4500,2019-02-19,2019-02-16,2019-02-16,True,False
Taylor,Electronic Stars,1,230,1,230,2019-02-16,2019-02-16,2019-02-16,True,False
Ash Lands,PuzzleRaven,1,1600,1,1600,2019-02-19,2019-02-18,2019-02-16,False,True
Interlude: In Memoriam,TheSleepingKnight,1,1900,1,1900,2019-02-16,2019-02-16,2019-02-16,False,True
Blood and Mass,blariviere,3,2700,5,7500,2019-02-21,2017-05-26,2019-02-16,False,False
Monsters Within Us,UndyingRevenge,1,4500,18,56000,2019-02-16,2018-02-01,2019-02-16,False,False
Recoil,Ack,1,9000,46,386000,2019-02-18,2014-05-15,2019-02-16,False,False
Token,Flutters Is Shy,1,1700,7,7400,2019-02-16,2019-05-07,2019-02-16,False,False
Witches Cauldron,ellfangor8,1,1800,5,11000,2019-02-21,2017-08-14,2019-02-16,False,False
The Abyss,TheGoodSir,2,1400,9,8200,2019-02-16,2019-01-23,2019-02-16,False,False
Annihilation,Jsyrin,2,2000,5,5300,2019-02-16,2019-12-28,2019-02-16,False,False
ARACHNE,Tangent,16,25000,16,25000,2019-02-21,2019-01-21,2019-02-16,False,False
An Awful Lot of Slaughterhousealot,frustratedFreeboota,1,1000,3,3000,2019-02-20,2019-02-14,2019-02-16,False,False
Batman Go in Worm,phoenixfryre,1,3700,1,3700,2019-02-17,2019-01-30,2019-02-16,False,False
BIND,Amanuensis,1,3900,14,66000,2019-02-17,2019-09-09,2019-02-16,False,False
Chaos Theory,KnightofTempest,1,1300,2,2600,2019-02-18,2019-01-19,2019-02-16,False,False
The Digicrest of Escalation,Stewart92,56,122000,56,122000,2019-02-16,2019-08-06,2019-02-16,False,False
Hive Daughter,PlateGlassArmour,1,2600,61,151000,2019-02-20,2019-07-21,2019-02-16,False,False
Just Bleed,Bobhope27,1,1100,7,6700,2019-02-20,2019-11-21,2019-02-16,False,False
The Legend of James,Caasi,1,5600,7,34000,2019-02-20,2019-11-10,2019-02-16,False,False
Light,Cardinal Grief,1,3200,2,6500,2019-02-17,2019-02-03,2019-02-16,False,False
Mocha Latte Conversations,Xaiya,1,1100,14,22000,2019-02-18,2019-07-29,2019-02-16,False,False
Progenitor,metaldragon868,1,5300,11,53000,2019-02-16,2019-10-23,2019-02-16,False,False
"Screw the Rules, I have Escalation!",Stewart92,1,4100,53,161000,2019-02-16,2016-09-29,2019-02-16,False,False
A Shard of Chrysalis,Jaesten,1,3300,36,64000,2019-02-16,2017-05-25,2019-02-16,False,False
Solitude,Reactor 2,1,2300,6,13000,2019-02-19,2018-02-02,2019-02-16,False,False
The-One-Who-Collects,Nyx the Author,1,3200,4,11000,2019-02-20,2019-06-13,2019-02-16,False,False
Unsung Heroes: A Next Great Adventure...,Zaralann,2,20000,3,31000,2019-02-16,2019-02-09,2019-02-16,False,False
Wonderland comes to Brockton Bay,Mglakoe,1,904,10,9700,2019-02-20,2017-12-28,2019-02-16,False,False
Dysphoria,AnOutrageousAmountOfOwls,1,2700,6,14000,2019-02-20,2019-02-01,2019-02-16,True,False
Alec Goes to Winslow,Tumach,3,2900,3,2900,2019-02-10,2019-02-02,2019-02-02,False,False
Building on Each Other,cyberlord4444,2,2400,2,2400,2019-02-02,2019-02-02,2019-02-02,False,False
The Corporation,BloodnBone,2,1800,2,1800,2019-02-05,2019-02-01,2019-02-02,False,False
The Devil You Know,Lewascan2,1,5300,1,5300,2019-02-07,2019-02-07,2019-02-02,False,False
A Discrete Yet Harmonious Chorus,ayew,3,3600,3,3600,2019-02-09,2019-02-04,2019-02-02,False,False
For Whom the Bell Tolls,Pinklestia101,1,1300,1,1300,2019-02-02,2019-02-02,2019-02-02,False,False
A Gust of Wind,Thetntm,1,980,1,980,2019-02-06,2019-02-05,2019-02-02,False,False
KDA,Flutters Is Shy,3,8100,3,8100,2019-02-08,2019-02-03,2019-02-02,False,False
Kindred,Materia-Blade,1,2500,1,2500,2019-02-02,2019-02-02,2019-02-02,False,False
Miles Morales in Brockton Bay,Axle,1,1100,1,1100,2019-02-09,2019-02-08,2019-02-02,False,False
On Wings of Freedom,RedLightningD608,1,3000,1,3000,2019-02-04,2019-02-04,2019-02-02,False,False
The Order of Trumps,phoenixfryre,1,4300,1,4300,2019-02-02,2019-02-02,2019-02-02,False,False
Paradox of Force,Seirgried,1,686,1,686,2019-02-02,2019-02-02,2019-02-02,False,False
Phantoms of the Bay,Flameal15k,1,969,1,969,2019-02-02,2019-02-02,2019-02-02,False,False
Priestess,ItsEvansFault,1,1000,1,1000,2019-02-04,2019-02-03,2019-02-02,False,False
Second Shot,Fcrants,1,417,1,417,2019-02-08,2019-02-07,2019-02-02,False,False
Shard-Assisted Confectionery,Demented Frog Noise,1,1800,1,1800,2019-02-07,2019-02-06,2019-02-02,False,False
She&apos;s Not There,FourmyleOfCeres,3,4100,3,4100,2019-02-02,2019-02-02,2019-02-02,False,False
Sprinting in Place,Star_Lad,1,1400,1,1400,2019-02-04,2019-02-03,2019-02-02,False,False
Watching With A Thousand Eyes,HaddockNorseman,2,7000,2,7000,2019-02-02,2019-02-06,2019-02-02,False,False
Worm: Priestess of the Spider Queen,Ysolde,2,3200,2,3200,2019-02-02,2019-02-02,2019-02-02,False,False
Broken Cycles,Jedi_Tounges,3,1300,3,1300,2019-02-02,2019-02-05,2019-02-02,True,False
Foundationaka Pet Rock Quest,grubleafeater,4,1300,4,1300,2019-02-02,2019-02-02,2019-02-02,True,False
Green iz Best: One Ork in Earth-Bet,Carnifex-Chan,4,1700,4,1700,2019-02-02,2019-02-07,2019-02-02,True,False
"Slow Days, Tactical Dolls",Ramble,7,4600,7,4600,2019-02-02,2019-02-04,2019-02-02,True,False
Armsy the high school student,freebiewitz,32,52000,32,52000,2019-02-02,2017-03-26,2019-02-02,False,True
Split,The Laurent,87,560000,87,560000,2019-02-02,2015-12-12,2019-02-02,False,True
Tearing the Aeons,dwood15,23,36000,23,36000,2019-02-04,2017-05-27,2019-02-02,False,True
Lord of the Sky,Akallas von Aerok,1,1500,1,1500,2019-02-02,2019-02-02,2019-02-02,False,True
Star Ocean: The Scion Story,PuzzleRaven,1,1000,1,1000,2019-02-03,2019-02-02,2019-02-02,False,True
Brained!,FourmyleOfCeres,14,49000,14,49000,2019-02-02,2016-09-29,2019-02-02,False,False
The Crazy World of Ladybug and Catnip!,Egret,1,533,13,13000,2019-02-02,2018-01-25,2019-02-02,False,False
Flavor Text,Materia-Blade,16,31000,16,31000,2019-02-02,2016-07-06,2019-02-02,False,False
Grunt Work,experiment,1,653,5,4600,2019-02-10,2019-05-31,2019-02-02,False,False
How to Drill Your Way Through Your Problems,Web-Weaver,25,110000,25,110000,2019-02-02,2017-03-10,2019-02-02,False,False
I Just Love Killin&apos;,BlueNine,2,8500,19,57000,2019-02-08,2016-10-21,2019-02-02,False,False
"Learning to love yourself, parahuman edition",Victorian_Irish,1,1800,19,24000,2019-02-02,2017-04-09,2019-02-02,False,False
A much needed rest,Treevile,1,819,8,15000,2019-02-03,2019-07-08,2019-02-02,False,False
Peace through Power,Vherstinae,1,2600,9,23000,2019-02-04,2018-02-04,2019-02-02,False,False
Stepping On Worm,Perfect Lionheart,1,5500,15,93000,2019-02-08,2015-07-04,2019-02-02,False,False
Summoner,Akallas von Aerok,1,1000,7,14000,2019-02-11,2019-10-24,2019-02-02,False,False
Tattletale becomes Cupid,Axle,2,2400,11,15000,2019-02-02,2017-03-19,2019-02-02,False,False
Teach Me,SevenEyes,1,3200,9,34000,2019-02-10,2019-09-23,2019-02-02,False,False
VAINGLORIOUS,Numen,2,7600,29,134000,2019-02-06,2017-11-21,2019-02-02,False,False
"We, Drone",Akallas von Aerok,1,613,5,5000,2019-02-04,2019-05-22,2019-02-02,False,False
Wormed,Pinklestia101,1,1000,3,2800,2019-02-02,2016-12-07,2019-02-02,False,False
"Wait, Whatâs Your Power Again?",Monk Penguin,14,43000,14,43000,2019-02-02,2019-11-05,2019-02-02,True,False
Bioluminescence,The Puerile Bibliophile,1,1400,10,17000,2019-02-02,2019-01-08,2019-02-02,False,False
Brawn and Brains,Belial666,1,1500,19,29000,2019-02-10,2019-10-26,2019-02-02,False,False
Caught In Your Web,MissionSword,1,3700,4,17000,2019-02-11,2019-01-08,2019-02-02,False,False
COURAGE AND HONOR,Titanicmark2,6,13000,6,13000,2019-02-08,2018-01-31,2019-02-02,False,False
The Crossover Nobody Asked For,Moss,1,260,3,1300,2019-02-11,2019-01-26,2019-02-02,False,False
Danganronpa: Primal Fear,7th_The_Writer,1,6500,6,38000,2019-02-08,2019-09-03,2019-02-02,False,False
A daring synthesis,Ironypus,36,88000,36,88000,2019-02-02,2018-01-19,2019-02-02,False,False
The Dating Habits of Useless Lesbians,Tamoline,2,6300,6,19000,2019-02-09,2019-12-30,2019-02-02,False,False
Endless Possibilities,Flameal15k,1,1000,10,10000,2019-02-04,2019-01-18,2019-02-02,False,False
F6 Support Group,Carabe197,3,5100,9,14000,2019-02-02,2019-01-05,2019-02-02,False,False
Feed,frustratedFreeboota,1,235,16,19000,2019-02-02,2019-07-07,2019-02-02,False,False
H &amp; T Prank the Multiverse,Steve2,1,5800,6,45000,2019-02-09,2019-11-22,2019-02-02,False,False
Heart to Heart,AeroVox,8,16000,8,16000,2019-02-02,2019-01-01,2019-02-02,False,False
I remember Touch,MarekGutkowski,1,4200,55,161000,2019-02-02,2016-11-25,2019-02-02,False,False
Lean,Idiom Alpha,2,4300,5,21000,2019-02-02,2019-11-01,2019-02-02,False,False
Little Birds of Brockton Bay,Dis Lexic,1,4200,10,47000,2019-02-02,2019-12-30,2019-02-02,False,False
Magical Girl Faultline-Chan Go!,Chartic,1,1700,2,3100,2019-02-04,2019-01-28,2019-02-02,False,False
Manifest Destiny,EvilCakes,1,844,27,36000,2019-02-02,2017-09-08,2019-02-02,False,False
My Pen-Pal Voldemort,PencilMonkey,1,2900,5,10000,2019-02-05,2019-01-14,2019-02-02,False,False
Nitroglycerin,Cheshire Cat,1,3800,3,10000,2019-02-04,2019-01-18,2019-02-02,False,False
Northern Light,Taliserian,1,2100,17,32000,2019-02-02,2019-07-26,2019-02-02,False,False
Of Shards and Worms,WulfBerg,1,2800,6,9700,2019-02-03,2019-12-30,2019-02-02,False,False
Panty and Stocking with Taylor Hebert,Axle,1,1500,6,7200,2019-02-04,2019-09-03,2019-02-02,False,False
The Paragamer,0100010,1,4600,35,196000,2019-02-11,2017-02-19,2019-02-02,False,False
Power Coil,Jaune Pendragon,2,5900,5,9400,2019-02-10,2019-01-16,2019-02-02,False,False
Queen Of The Cards,Catamboc,3,5100,42,184000,2019-02-08,2019-02-18,2019-02-02,False,False
Rage Will Set Me Free,MarekGutkowski,1,1100,36,95000,2019-02-05,2019-03-27,2019-02-02,False,False
Reality Bites Worm,Selector,1,2900,37,84000,2019-02-05,2019-05-29,2019-02-02,False,False
Reanimation,Mujaki,1,429,26,73000,2019-02-07,2019-06-09,2019-02-02,False,False
The Reaping,Para_Docks,1,2600,63,123000,2019-02-02,2015-10-28,2019-02-02,False,False
"ReKingdom, Starting a Life with Amnesia from Zero",Gracedharperd,1,5100,47,181000,2019-02-02,2019-12-29,2019-02-02,False,False
Seraphim,TheShadowsOfVanity,1,6600,13,60000,2019-02-07,2019-05-11,2019-02-02,False,False
Shards Of The Cookie Jar,Idiom Alpha,3,12000,3,12000,2019-02-10,2019-09-24,2019-02-02,False,False
These Games of Ours,Trifle,3,5900,8,13000,2019-02-08,2019-01-27,2019-02-02,False,False
Tripartite,Slab,1,1800,2,3700,2019-02-02,2019-11-09,2019-02-02,False,False
War Diary 2nd Edition,Deadluck,6,7200,19,23000,2019-02-02,2019-01-20,2019-02-02,False,False
A Warmth to Soothe a Hundred Ills,copperpatina,2,2500,4,4600,2019-02-07,2019-01-28,2019-02-02,False,False
Worst Girl(s),Twei,1,9800,8,34000,2019-02-10,2019-11-02,2019-02-02,False,False
Alchemical Solutions,Gromweld,1,1400,245,1100000,2019-02-05,2014-01-22,2019-02-02,True,False
Delusional Dancing Dragon,Qwaar,1,3200,62,104000,2019-02-02,2016-02-04,2019-02-02,True,False
Beck and Call,OperationArrow,1,1600,1,1600,2019-01-26,2019-01-26,2019-01-26,False,False
BROB&apos;d: World One: Worm,Wolfboy,1,13000,1,13000,2019-01-26,2019-01-26,2019-01-26,False,False
C&apos;est La Vie,PseudoSim,1,2500,1,2500,2019-01-26,2019-01-26,2019-01-26,False,False
Global Worming,logiccosmic,1,1500,1,1500,2019-01-26,2019-01-26,2019-01-26,False,False
Home,Wolfund,1,1500,1,1500,2019-01-26,2019-01-26,2019-01-26,False,False
Necrokinesis,KaiserdeDiez,1,2100,1,2100,2019-01-26,2019-01-26,2019-01-26,False,False
super random ideas of total random randomness,warbreaker9901,1,599,1,599,2019-01-26,2019-01-26,2019-01-26,False,False
Lighthouse,Intersection,1,3000,1,3000,2019-01-26,2019-01-26,2019-01-26,True,False
The Tree of Knowledge,Materia-Blade,6,18000,6,18000,2019-01-26,2014-09-16,2019-01-26,False,True
#Smalltown PRT Problems,AParticularlyLargeBear,2,1100,2,1100,2019-01-26,2019-12-07,2019-01-26,False,True
A Story of You,TheSleepingKnight,1,1500,1,1500,2019-01-26,2019-01-26,2019-01-26,False,True
Copacetic,Materia-Blade,40,281000,40,281000,2019-01-26,2014-01-26,2019-01-26,False,False
Kiwi Gamer in Wormverse,PocketRikimaru,1,1400,7,9100,2019-01-26,2019-02-21,2019-01-26,False,False
Weaverâs Adventures in Philly,asododsteel,1,5100,26,69000,2019-01-26,2016-05-27,2019-01-26,False,False
Animus,altearther,2,14000,10,80000,2019-01-26,2019-04-14,2019-01-26,False,False
Classical Hero,strangebloke,1,3500,6,19000,2019-01-26,2017-05-08,2019-01-26,False,False
Curio&apos;s,billymorph,1,3200,6,18000,2019-01-26,2019-01-16,2019-01-26,False,False
Hero Complex/Deuteragonist,Grubleafeater,1,653,4,2500,2019-01-26,2019-01-17,2019-01-26,False,False
Hunger,Baked The Author,1,19000,3,34000,2019-01-26,2019-01-14,2019-01-26,False,False
Hunt,LacksCreativity,1,3600,27,139000,2019-01-26,2019-07-05,2019-01-26,False,False
Outsider,CleverPervertedPriest,1,2600,6,15000,2019-01-26,2019-10-21,2019-01-26,False,False
Predicting the Weather,d4nte,1,1700,6,5900,2019-01-26,2019-01-15,2019-01-26,False,False
Recurve,SniperFrog,1,4000,10,35000,2019-01-26,2019-11-15,2019-01-26,False,False
Safely Curated Products,Akallas von Aerok,1,1400,2,2800,2019-01-26,2019-01-25,2019-01-26,False,False
